pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
400,335.16,1.2*threshold,17,0.19835499999999998
400,335.16,1.2*threshold,17,0.20087499999999997
400,335.16,1.2*threshold,17,0.20334999999999998
400,335.16,1.2*threshold,17,0.21835
400,335.16,1.2*threshold,17,0.22585999999999998
400,335.16,1.2*threshold,17,0.22840499999999997
400,335.16,1.2*threshold,17,0.23081
400,335.16,1.2*threshold,17,0.23336999999999997
400,335.16,1.2*threshold,17,0.24331999999999998
400,335.16,1.2*threshold,17,0.245855
400,335.16,1.2*threshold,17,0.25328999999999996
400,335.16,1.2*threshold,17,0.25582
400,335.16,1.2*threshold,17,0.26087
400,335.16,1.2*threshold,17,0.26335
400,335.16,1.2*threshold,17,0.26569
400,335.16,1.2*threshold,17,0.27601499999999995
400,335.16,1.2*threshold,17,0.278335
400,335.16,1.2*threshold,17,0.28331999999999996
400,335.16,1.2*threshold,17,0.285975
400,335.16,1.2*threshold,17,0.29092999999999997
400,335.16,1.2*threshold,17,0.295905
400,335.16,1.2*threshold,18,0.010849999999999999
400,335.16,1.2*threshold,18,0.01587
400,335.16,1.2*threshold,18,0.018369999999999997
400,335.16,1.2*threshold,18,0.023379999999999998
400,335.16,1.2*threshold,18,0.028339999999999997
400,335.16,1.2*threshold,18,0.030824999999999998
400,335.16,1.2*threshold,18,0.038384999999999996
400,335.16,1.2*threshold,18,0.040865
400,335.16,1.2*threshold,18,0.05091
400,335.16,1.2*threshold,18,0.05834999999999999
400,335.16,1.2*threshold,18,0.063355
400,335.16,1.2*threshold,18,0.065895
400,335.16,1.2*threshold,18,0.075875
400,335.16,1.2*threshold,18,0.07827999999999999
400,335.16,1.2*threshold,18,0.08316499999999999
400,335.16,1.2*threshold,18,0.085825
400,335.16,1.2*threshold,18,0.09091999999999999
400,335.16,1.2*threshold,18,0.093385
400,335.16,1.2*threshold,18,0.095965
400,335.16,1.2*threshold,18,0.10586499999999999
400,335.16,1.2*threshold,18,0.11081999999999999
400,335.16,1.2*threshold,18,0.11336999999999998
400,335.16,1.2*threshold,18,0.115865
400,335.16,1.2*threshold,18,0.11832499999999999
400,335.16,1.2*threshold,18,0.12083999999999999
400,335.16,1.2*threshold,18,0.123205
400,335.16,1.2*threshold,18,0.12561
400,335.16,1.2*threshold,18,0.128375
400,335.16,1.2*threshold,18,0.1359
400,335.16,1.2*threshold,18,0.14335499999999998
400,335.16,1.2*threshold,18,0.145755
400,335.16,1.2*threshold,18,0.15330999999999997
400,335.16,1.2*threshold,18,0.16088999999999998
400,335.16,1.2*threshold,18,0.16333999999999999
400,335.16,1.2*threshold,18,0.17085499999999998
400,335.16,1.2*threshold,18,0.17337
400,335.16,1.2*threshold,18,0.17581999999999998
400,335.16,1.2*threshold,18,0.18317499999999998
